User_ID,score,last_msg
85614143951892480,15478.0,1638677412.0
98833271030300672,1000.0,1548605277.0
109765405593042944,1987.0,1634212393.0
113290591323836416,65.0,1541797263.0
118942384989011968,449.0,1548862813.0
122483575630200834,18.0,1634212336.0
123505238119284736,135.0,1610082411.0
124311632938532865,179.0,1567986369.0
126375904338247680,135.0,1569542985.0
127882287860678656,4175.0,1561814393.0
133123401647783937,576.0,1599854188.0
133350056634875904,23.0,1623251186.0
136821869830602752,3625.0,1638707795.0
139526079520964609,1622.0,1632775638.0
141007573435416577,77.0,1590274081.0
141340599100899328,148.0,1534918216.0
142350795621269504,363.0,1592183436.0
147946999805771777,220.0,1533050282.0
148840666980548608,17.0,1549793509.0
149290423645372417,81.0,1563239203.0
150697361016881152,7467.0,1638709758.0
152857239517003777,15.0,1532983386.0
155149108183695360,2485.0,1636681687.0
156896320064323585,132.0,1559702904.0
157113106940559360,122.0,1565547503.0
159985870458322944,22.0,1614552026.0
160145683326828544,1232.0,1635766278.0
162963576951144448,19.0,1565491778.0
162985524909441024,659.0,1621807609.0
165636435532054529,261.0,1597524422.0
165855959669800960,84.0,1603212293.0
169215171435298817,84.0,1600117463.0
169622149970132994,35096.0,1638678962.0
169934080278790145,144.0,1585751502.0
171359790965063680,43.0,1548262673.0
174682416550510592,767.0,1567592542.0
181118099712376832,202773.0,1639461308.0
183271397919948809,2081.0,1533854930.0
186433362796216320,34.0,1568720445.0
188796910289682432,16.0,1633248300.0
190262693410635776,25.0,1569460831.0
190897913314934784,777.0,1624568472.0
194557572030660608,271.0,1617396134.0
195804890818150400,25.0,1563051343.0
198478108741992450,2893.0,1585041525.0
199549254019186689,1252.0,1622855897.0
201832499326746624,156802.0,1639464536.0
202147975185694720,4236.0,1632471831.0
203130228468350976,25506.0,1638742097.0
203322326681387008,507.0,1598072274.0
206504532404994048,123.0,1570216284.0
206913338188365824,55.0,1548476887.0
207884220595437568,2261.0,1636922147.0
214463325751345152,414.0,1574029106.0
227487456386088960,20.0,1549473538.0
230287282639339522,100209.0,1639475483.0
232874475345936384,422.0,1616885185.0
234395307759108106,4461.0,1625332289.0
235088799074484224,4351.0,1578609010.0
235148962103951360,135.0,1629829078.0
236517244765601792,187.0,1611964502.0
236902492955344898,60550.0,1638891928.0
237754655902400513,481.0,1548952085.0
237771398880165888,165.0,1549283658.0
241250659356114944,579.0,1549817035.0
241682043119992832,43.0,1564421178.0
243060777748004865,36.0,1554227544.0
244032500152795136,16.0,1563051518.0
244691531980603402,15.0,1633247774.0
245400224950910984,56.0,1543747379.0
245661899646042113,217.0,1533155872.0
246541098359586817,102.0,1633247574.0
246650239556124672,56.0,1594672438.0
246929798276972545,49.0,1550867966.0
249978030309507073,20.0,1592941246.0
250274090894491648,1074.0,1571078434.0
252070848800882688,39100.0,1639643369.0
255514676098498570,1150.0,1613950266.0
258512765444947969,296.0,1592172750.0
261617855257116672,2934.0,1592619105.0
262511865391874048,99.0,1569049100.0
263727697421664258,25.0,1616536761.0
264337698813247488,16.0,1534890104.0
264424180211122176,17.0,1569528452.0
265530080464338946,355.0,1613948013.0
