User_ID,score,last_msg
134073775925886976,40.0,1556956525.987
149352193856634882,341.0,1555005414.628
179963604404142090,25.0,1561112266.704
190897913314934784,460.0,1630599475.989
197800982674014208,19.0,1555005347.519
211105566062280705,1581.0,1630175131.063
234395307759108106,21.0,1589586514.367
252070848800882688,1744.0,1627732512.278
275614374687932429,1651.0,1557908935.555
425720371518636033,19.0,1594490036.021
870759429677654046,77.0,1639159812.445
870996880174223370,4987.0,1627732565.274
